LGA Name,Male,Female,Median Age,0-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Australia,"No Religion, so described",Catholic,English only spoken at home,Worked full-time,Worked part-time,Professionals,Clerical and Administrative Workers,Technicians and Trades Workers,PersonalMedianIncomeWeekly,FamilyMedianIncomeWeekly,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Couple family without children,Couple family with children
Weddin (A),50,50,51,16.7,8.1,7.3,10.4,12.9,15.7,16.2,8.5,4,53.9,9.4,6.7,84.7,18.5,24.1,89.6,58.4,30.4,12.2,9,11.4,492,1193,0.7,57.7,53,33.6
Wentworth (A),51.6,48.4,44,18.8,10.6,10,10.9,14,15.3,12.5,5.7,2,52,9.2,6.6,83.2,33.2,20.6,86.3,56.9,29.8,13.2,10.4,12.8,555,1308,0.8,70.3,45.3,38.8
Willoughby (C),48,52,37,19.4,11.4,15.2,16.7,13.5,10.1,7.3,4,2.3,54.6,47.8,9.2,49.4,36.5,21.6,55,63.6,27.4,39.9,12.3,6.3,946,2671,35.7,41.3,34,52
Wingecarribee (A),47.8,52.2,47,17.6,10.3,8.3,10.6,13.5,13.8,14.9,8.1,3,53.3,20.3,10.3,77.1,26,22.3,88.4,56.1,35.6,20.2,11.3,16,645,1639,3,71.6,47.1,38.2
Wollondilly (A),49.9,50.1,37,22,13,11.8,13.5,13.9,12.4,8.2,3.7,1.3,54.6,12.6,9.2,82.1,21.4,30.2,89.2,62.3,28.4,14.9,14.7,18.3,738,2032,4.4,76.8,33.7,52.9
Woollahra (A),46.5,53.5,39,15.6,10.2,17.4,14.4,12.9,10.7,10.2,5.5,2.9,44.1,48.9,8.4,58.2,30.2,19.1,75.7,66.4,26.3,42.4,11.3,4.2,1365,3626,30,42.5,44.6,41.7
Yass Valley (A),49.1,50.9,42,21.1,10.9,9,13.7,15.5,13.6,9.9,4.5,1.8,55.5,23.6,9.3,82.8,28.5,26.3,90.2,61.5,28.9,20.7,14.9,13,869,2214,1.5,71.8,40.8,47.5
Unincorporated NSW,53.6,46.4,41,17.4,8.8,12.7,15.5,13.3,15.7,10.4,4.2,2.1,53.7,10.7,7.1,81.1,30.8,18.9,86.5,66,23.1,7,6,7.5,717,1427,NA,28.5,49.8,42
Alice Springs (T),49,51,35,20.9,11.4,17.3,14.6,15.3,12.5,5.6,2,0.7,42.3,21.7,8.4,64.5,32.6,18.7,68.7,71.4,19.5,24.2,14.1,12.3,1002,2259,2.9,72,36.9,44.9
Barkly (R),51.5,48.5,28,26.1,16.6,17.3,12.3,12.4,8.9,4.6,1.5,0.3,41.4,8.5,3.9,85,25.3,9.6,39.9,54.1,15.5,19.5,10.6,10.8,375,959,1.2,49.1,28.4,45.1
East Arnhem (R),49.6,50.4,25,28.7,20,18,13.7,10.2,6.6,2.3,0.6,0.1,48,3.5,1.5,96.6,NA,7.7,4.9,40.2,26.4,28.2,7.1,7.3,242,671,3.6,35,17,45.9
Central Desert (R),48.4,51.6,28,29.4,15.5,16.5,14.4,11.5,7.9,3,1.3,0.3,54.1,4.9,2.2,92.7,14,8.1,13.7,37.7,16.2,17.9,8.5,6.7,294,801,3.4,35.5,25.9,47.3
Katherine (T),52.1,47.9,33,22.6,12.6,18.1,13,14.4,10.9,5.9,2.1,0.4,42.7,13.4,7.9,67.9,31.4,17.8,65.1,72.6,17.3,18.5,13.2,17,922,2081,0.5,74,36.3,47.3
