LGA Name,Male,Female,Median Age,0-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Australia,"No Religion, so described",Catholic,English only spoken at home,Worked full-time,Worked part-time,Professionals,Clerical and Administrative Workers,Technicians and Trades Workers,PersonalMedianIncomeWeekly,FamilyMedianIncomeWeekly,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Couple family without children,Couple family with children
Subiaco (C),48.7,51.3,36,14.7,14.6,18.6,13.3,11.4,10.8,9.3,5.1,2.2,41.4,50.1,7.8,53.1,40.4,17.1,70.8,56.2,31.6,46.1,10,6.3,892,2609,17.1,49.8,46.3,40.1
Swan (C),49.7,50.3,34,21.7,13.7,15.8,14.5,13.8,10.2,6.3,3,1,48.6,14,8.9,60.2,30.5,22.4,72.5,58.2,28.4,14.1,14.8,17.5,716,1811,7,75.9,33,48.4
Tammin (S),54,46,38,22.9,9.1,12.1,12.6,16.8,11.7,10.4,3.7,0.7,42.8,11.6,5,77.5,23.6,20.3,84.6,63.4,27.3,6.7,10.1,7.8,661,1589,1.8,65.9,37.2,47.9
Three Springs (S),51.3,48.7,40,23.9,6.8,12.5,10.8,11.8,14.3,13.6,3.3,2.9,52.3,9.3,6.6,76.4,34.7,17.3,87.9,68,21.2,8.7,5.1,11.8,610,1406,1.5,59.1,43.8,39.9
Toodyay (S),50.6,49.4,51,14.7,8.8,6.7,9.4,17.5,19.5,16.6,5.9,0.8,54.8,10.4,8.7,67.9,34.6,15.7,87.3,53.5,31,14.1,12.2,18,560,1425,3.6,65.5,57.3,30.8
Trayning (S),55.5,44.5,50,13.9,9.3,6.5,9.3,20.5,17.1,14.6,4.9,3.7,43.3,5.2,5.2,73.7,30.3,19.7,83.1,58.3,27.1,4.4,3.7,9.6,556,1339,NA,53.1,59,30.1
Upper Gascoyne (S),57,43,26,29,15.9,17.6,10,10.8,9,6.6,1,0,37.6,9.2,4.9,82.4,53.5,10.9,80.7,54.7,18.6,6.1,6.1,15.9,419,700,NA,29.9,29.2,29.2
Victoria Park (T),49.8,50.2,34,13.5,13.9,23.4,14.9,11.2,9.4,6.3,4.1,3.2,39.1,31,9.4,51,34.6,20.6,64.1,57.9,28.9,28.7,12.6,13.6,766,1998,16.8,63.6,46.8,36.6
Victoria Plains (S),54.2,45.8,45,18,8,10.5,12.8,19.2,14.7,10.8,5.3,0.6,53.8,10.8,7,74.8,29.7,21.3,86,65.7,25.1,4.8,7.4,10.3,706,1602,0.7,55.3,45.5,44.7
Wagin (S),49.1,50.9,49,17.8,8.4,7.7,10.6,13.6,17,14.7,6.7,3.3,52.9,7.3,5.1,75.1,29.2,15.3,88.5,55,32.2,10,9.2,13.1,539,1274,1.2,65,52.1,31.2
Wandering (S),50.8,49.2,47,21,4.6,8.5,12.6,18.6,15.3,11.6,6.8,0.9,68.2,8.3,5.8,80.6,33.6,12.9,87.1,63.6,24.3,4.9,7.4,16.2,748,1777,3.3,55.1,55.8,39.2
Wanneroo (C),49.4,50.6,33,23,13.9,15.6,15.1,13.6,8.9,5.9,3,1,50.8,14.7,9.6,52.7,31.8,20.9,74,56.3,30,15.3,14.2,18.9,709,1875,9.5,74.5,31.2,51.6
Waroona (S),49.9,50.1,45,18.7,10.2,9.6,10.8,15.1,14.9,11.4,7,2.3,51.6,6,6.4,71.6,29.5,25.6,83.5,53.4,29,8.3,9,22.5,558,1464,2.2,68.4,44.3,39.6
West Arthur (S),51.6,48.4,47,18.9,7,9.7,11.1,16.9,17.4,11,5.3,2.8,59.5,9.6,5.5,82.4,33.9,13.9,90.7,54.9,33.6,5.9,8.6,7.6,635,1324,NA,49.2,53.8,34.4
Westonia (S),60.1,39.9,42,15.6,8.3,12.3,17.9,15.2,17.9,7.7,5,0,53.3,13,5.7,68.7,26.6,21.7,80.4,73.7,18.7,7.7,7.7,19.6,1099,2071,4.8,57.5,53.2,41.9
Wickepin (S),52.4,47.6,46,19.8,6.6,11.5,10.8,16.2,15.5,11.7,5.8,2,55.3,7.6,6.9,86,38.7,13.5,91.6,57.6,31.1,6.6,8,10,609,1402,0.8,50.6,55.4,36.6
Williams (S),53.2,46.8,43,20.2,6.5,13.3,11.8,12.2,19.1,10.6,5,1.3,60,12,7.9,82.9,32,15.6,89.8,62.7,28.5,11,8.2,8.9,825,1837,0.6,58.2,51.9,39
Wiluna (S),68.3,31.7,35,11,10.3,27.6,19.5,15,10.8,5.3,0.5,0,31.2,9.5,3.7,62.1,29.3,10.8,52.6,78.1,9.4,12.8,4.5,23.5,1345,860,24.7,29.8,36.1,25
Wongan-Ballidu (S),53.3,46.7,41,21,7.4,13.1,12.8,14.1,15.3,10.4,3.7,2,53.5,9.6,6.1,82.7,32.9,18.8,92.7,59.9,27.9,10.4,10.4,15.2,717,1495,1.8,57.7,46.8,39.7
Woodanilling (S),52.6,47.4,43,21.2,6.5,10.1,14.1,16.8,17.8,9.2,4.2,0,55,14.3,6.3,79.5,36.8,9.9,92.2,62.4,22.1,10,6.2,11,748,1600,2.4,49,48.6,43
Wyalkatchem (S),53.2,46.8,53,14.4,5.4,10.9,8.4,14.4,17.4,14.6,10.2,4.4,49.2,7.6,4.7,76.7,33.4,14.6,86.7,57.5,30.4,8.4,13.7,6.8,511,1166,NA,60,55.7,32.2
Yalgoo (S),64.8,35.2,39,9.9,12.1,22,14.1,17.9,17,3.5,2.7,0.9,30.6,12.5,6.2,64.2,29.1,26,79.4,70.8,15.8,12.6,8.4,20,1483,2150,15.7,34.5,41.2,26.5
Yilgarn (S),60.8,39.2,45,12.8,7,14.3,13.7,20.2,15,10.2,4.8,2,48.6,6.2,4,69.8,26.3,27,83.3,65.9,19.8,5.5,7.5,20.1,861,1807,9.4,52.9,50.6,32.6
York (S),50.2,49.8,51,17,7.8,7.4,9,14.4,17.9,16.6,7.6,2.3,53,11.3,8.5,71.9,32.9,14.6,87.2,54.1,34.2,13.2,11.6,13.8,540,1368,1.8,64.2,54,30.8
